                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4052,                  2.101,                 1.6153,                0.73737,                0.59079,                0.62946,                0.29834,                  1.632,                 2.7009,                 1.9806,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.4452,                 1.7143,                 1.6192,                0.51774,                0.39295,                0.36329,                0.13418,                 2.0981,                 2.7267,                 2.7096,              0.0013098,              0.0013098,              0.0013098
                      3,                 1.5059,                 1.6481,                 1.6517,                0.38399,                0.31928,                0.25356,                0.08825,                 2.2135,                 3.1457,                 2.7856,              0.0019502,              0.0019502,              0.0019502
                      4,                 1.5027,                 1.5166,                 1.6591,                0.46882,                0.31978,                0.33215,                0.13081,                 2.0322,                 2.2769,                 2.5127,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.484,                 1.4328,                 1.6362,                0.67487,                0.65854,                0.61116,                0.26802,                 1.9683,                 1.9533,                 2.1906,              0.0019208,              0.0019208,              0.0019208
                      6,                   1.44,                 1.3315,                 1.5898,                0.62283,                0.60414,                0.60425,                0.22309,                 2.1004,                 1.8189,                 2.2649,               0.001901,               0.001901,               0.001901
                      7,                 1.4529,                 1.2641,                 1.5855,                0.73436,                0.68293,                0.71426,                0.36479,                 1.6427,                 1.3107,                 1.8179,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3911,                 1.2383,                 1.5477,                0.60067,                0.62873,                0.59438,                0.29776,                 1.7697,                 1.6026,                 2.0651,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3941,                 1.1727,                 1.5476,                 0.7633,                0.71274,                0.72995,                0.35684,                 1.7259,                 1.5192,                 1.9274,              0.0018416,              0.0018416,              0.0018416
                     10,                   1.35,                 1.1643,                 1.5134,                0.77707,                0.66667,                0.71926,                 0.3484,                 1.7527,                 1.3277,                 1.9581,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3473,                 1.1088,                 1.5037,                0.81609,                 0.6748,                0.74905,                0.39694,                 1.6449,                 1.2959,                 1.8536,               0.001802,               0.001802,               0.001802
                     12,                 1.3144,                 1.0956,                 1.4961,                0.79685,                0.74255,                0.80233,                 0.4171,                 1.6444,                 1.2021,                 1.8477,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3122,                 1.0483,                 1.4785,                0.80624,                 0.6766,                0.72634,                0.38364,                 1.7232,                 1.4013,                 2.0033,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3184,                 1.0165,                 1.4779,                0.88225,                0.69919,                0.80581,                0.41756,                 1.7064,                 1.2456,                 1.9151,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2728,                0.99307,                  1.444,                0.81026,                0.72911,                 0.8174,                0.42119,                 1.6493,                 1.1545,                 1.8822,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2968,                 1.0078,                 1.4635,                 0.8389,                0.76203,                0.84309,                0.44221,                 1.6232,                 1.0958,                 1.7795,               0.001703,               0.001703,               0.001703
                     17,                 1.2832,                0.95196,                 1.4437,                0.83748,                0.78862,                0.84872,                0.43333,                 1.7004,                 1.0474,                  1.832,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2737,                 0.9506,                 1.4305,                0.85084,                0.80384,                0.87067,                0.49956,                 1.4395,                0.91229,                 1.5964,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2291,                0.91543,                 1.4189,                0.89432,                0.78862,                0.85791,                0.45179,                 1.6196,                0.92685,                 1.7921,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2195,                0.92248,                 1.4254,                0.83003,                0.74109,                 0.8062,                0.43784,                 1.6549,                 1.1535,                 1.8961,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2283,                0.89191,                 1.4218,                0.89112,                0.77236,                0.87274,                0.45755,                 1.6145,                0.93991,                 1.7664,               0.001604,               0.001604,               0.001604
                     22,                 1.1996,                0.87154,                 1.3957,                0.90337,                0.76423,                 0.8572,                0.43823,                 1.6373,                0.98358,                 1.7894,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1845,                0.84775,                 1.3875,                0.79541,                0.77778,                0.79452,                0.43506,                 1.6488,                 1.1312,                 1.8055,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2177,                 0.8707,                 1.4246,                0.85708,                0.77236,                0.84217,                0.45428,                 1.7346,                 1.0092,                 1.9744,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1874,                0.85999,                 1.3905,                0.87867,                0.75339,                 0.8483,                0.46847,                  1.547,                 1.0197,                 1.6918,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1826,                0.84721,                 1.3817,                0.87746,                0.77778,                 0.8698,                0.48978,                 1.5058,                0.91159,                  1.689,               0.001505,               0.001505,               0.001505
                     27,                 1.1998,                0.86171,                 1.3946,                0.86976,                 0.8374,                0.88915,                0.49481,                 1.5046,                0.84058,                 1.6529,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1879,                0.82582,                 1.3799,                   0.89,                0.74552,                0.83872,                 0.4812,                 1.5612,                 1.0518,                 1.7934,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1833,                0.82286,                 1.3908,                 0.8436,                0.80488,                0.84674,                0.43343,                 1.6488,                0.92094,                 1.8079,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1412,                 0.7872,                 1.3446,                0.83857,                0.73713,                0.78828,                0.40571,                 1.7093,                 1.0761,                 1.9575,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1599,                0.79526,                 1.3489,                0.85335,                0.85366,                0.86261,                0.46785,                 1.5337,                0.86218,                 1.7359,               0.001406,               0.001406,               0.001406
                     32,                  1.162,                0.79589,                 1.3547,                0.86977,                0.81301,                0.86411,                0.50191,                 1.5607,                0.83408,                 1.7189,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1724,                0.80176,                 1.3727,                0.88357,                 0.8374,                0.89002,                0.54031,                  1.368,                0.81386,                 1.5943,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1341,                 0.7619,                 1.3498,                0.86863,                0.84218,                0.87681,                0.45058,                 1.6212,                0.85959,                 1.7961,              0.0013466,              0.0013466,              0.0013466
